"","Sp.id","DIC","K.s","r.max","R.jag","R.mth"
"1","Thalassiosira allenii",8.24420223259444,7.08991443373595,1.09325489452094,0.960000000000001,0.713806141086824
"2","Ceratium furca",-6.27082135339874,5.78318289952888,0.409652285725808,1.5,1.8676377233817
"3","Ceratium fusus",-7.34268145800166,5.77198206756968,0.331113830529411,2,2.49746285384472
"4","Micractinium pusillum",-20.6365497808401,2.92688554583178,0.265431247190448,1.5,1.76924589250197
"5","Chroococcus minutus",7.55314521383304,6.79574058551956,0.844081110605482,1,0.913306424347966
"6","Microcystis flos-aquae",0.604012542586121,6.95259152055748,0.716756901460469,1.25,1.12728232211004
"7","Planktothrix agardhii",-5.46543422336419,5.98649148952762,0.411586107742381,1.75,1.92129602083455
"8","Coelastrum microporum f. astroidea",4.77513234373457,6.25040914304165,0.515115703744395,5,1.50570288877587
"9","Cosmarium subprotumidum",-16.3432709200032,6.9875043160208,0.368007952208434,5,2.60720036791539
"10","Selenastrum minutum",3.14636797301914,6.3940330115733,0.776005347926615,5,0.945855388745744
"11","Asterionella formosa",3.93379258652449,7.67095559990569,0.771364428796028,1.5,1.14259190253231
"12","Anabaena cylindrica",-8.40351881980129,3.72491861828542,0.271818025425977,1.5,2.16794402627459
"13","Coelastrum microporum",-16.1895893557339,7.58759897606051,0.781874468338727,1.5,1.11275598785014
"14","Dictyosphaerium pulchellum",-15.836158175345,6.61980930359811,0.650856198017296,2,1.20173092858442
"15","Fragilaria bidens",-19.410265341588,8.12800174939351,0.830759980963776,1.5,1.1122669496315
"16","Monoraphidium minutum",3.25992488817719,5.43228954337114,0.492625070913646,1,1.38358193243496
"17","Pediastrum boryanum",-10.6780885703792,5.53150346198701,0.303914565782985,2.5,2.71265735272383
"18","Scenedesmus crassus",-40.7675746848298,5.89569653484347,0.533475295184078,3.4439,1.3600997796979
"19","Scenedesmus quadricauda",-40.268694446877,5.85721749640442,0.533195306588794,6,1.35209625019422
"20","Chlorella vulgaris",-6.56554525074854,6.80909132770493,0.814453118662686,1,0.953049423375771
"21","Fragilaria crotonensis",-14.4410577171864,4.74190502717037,0.304520156615537,2,2.31855143553618
"22","Staurastrum pingue",-12.2921705190553,6.85163189900722,0.379586904733603,2.5,2.45062690097579
"23","Synechocystis minima",-9.65304661135316,5.12532569225327,0.495645329256415,1,1.29543439875454
"24","Acutodesmus obliquus",-3.39264535889546,4.91944042546664,0.125825526575758,18,19.0487516722483
"25","Phaeodactylum tricornutum",8.70319443541863,7.10715474578894,1.15139868851219,1,0.675971429624487
"26","Chaetoceros deflandrei",-2818.11175507321,5.1274667820756,5.95653242567185e-155,NA,-5.1274667820756
"27","Corethron criophilum",-2096.98609339298,5.06571845475657,3.57141255299708e-154,NA,-5.06571845475657
"28","Nitzschia cylindrus",-2817.69883751012,5.0420530373723,6.27505662230842e-155,NA,-5.0420530373723
"29","Nitzschia kerguelensis",-2816.9701159424,5.0471941363245,6.72784605468467e-155,NA,-5.0471941363245
"30","Nitzschia turgiduloides",-2817.53089773259,5.07411720257395,6.31208498893789e-155,NA,-5.07411720257395
"31","Stellarima microtrias",-2817.86794569783,5.20225162908857,6.39597818674181e-155,NA,-5.20225162908857
"32","Synedra sp.",-2817.21805575969,5.04338379893251,6.41179002174237e-155,NA,-5.04338379893251
"33","Synura sphagnicola",4.17357933875029,5.61175024443881,0.356127267985726,2,2.19100070389677
"34","Isochrysis galbana",7.24947054841903,7.12757763741546,1.2370319998812,1,0.626858139274896
"35","Rhodomonas salina",7.37511629850061,5.70560626750293,1.01380739292539,0.5,0.624377337245814
"36","Dactyliosolen fragilissimus",0.632281067553151,2.20914864076457,0.845212086203882,4.2,0.296445626911124
